; CTRL+S1 - RUS/LAT
; CTRL+S8 - RESET



;    |     ENG      SFT| |      RUS     SFT|
;         SFT  CTRL CTRL      SFT  CTRL CTRL
1 6F 1132 1232 0000 0000 1132 1232 0000 0000 KEY_#B
1 77 112F 122F 0000 0000 112F 122F 0000 0000 KEY_CT
1 0E 1133 1233 0000 0000 1133 1233 0000 0000 KEY_*
1 4A 112B 122B 0000 0000 112B 122B 0000 0000 KEY_<-
1 7B 1130 1230 0000 0000 1130 1230 0000 0000 KEY_^^
1 4C 0000 0000 0000 0000 0000 0000 0000 0000 KEY_pri


1 47 116E 126E 0000 0000 116E 126E 0000 0000 KEY_^-
1 48 116F 126F 0000 0000 116F 126F 0000 0000 KEY_p^
1 50 1170 1270 0000 0000 1170 1270 0000 0000 KEY_pv
1 52 114D 124D 0000 0000 114D 124D 0000 0000 KEY_vst
;
1 4B 114F 124F 0000 0000 114F 124F 0000 0000 KEY_CT<-
1 4D 1150 1250 0000 0000 1150 1250 0000 0000 KEY_CT->
1 4F 113A 123A 0000 0000 113A 123A 0000 0000 KEY_OB
;
1 76 1135 1235 0000 0000 1135 1235 0000 0000 KEY_*A
;
0 56 0021 005C 0000 0000 0021 005C 0000 0000 KEY_\
;
;    |     ENG      SFT|  |      RUS     SFT |
;         SFT  CTRL CTRL        SFT  CTRL CTRL
0 10 0051 0051 0051 0051   0089 0089 0089 0089 KEY_Q
0 11 0057 0057 0057 0057   0096 0096 0096 0096 KEY_W
0 12 0045 0045 0045 0045   0093 0093 0093 0093 KEY_E
0 13 0052 0052 0052 0052   008A 008A 008A 008A KEY_R
0 14 0054 0054 0054 0054   0085 0085 0085 0085 KEY_T
0 15 0059 0059 0059 0059   008D 008D 008D 008D KEY_Y
0 16 0055 0055 0055 0055   0083 0083 0083 0083 KEY_U
0 17 0049 0049 0049 0049   0098 0098 0098 0098 KEY_I
0 18 004F 004F 004F 004F   0099 0099 0099 0099 KEY_O
0 19 0050 0050 0050 0050   0087 0087 0087 0087 KEY_P
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0 1A 005B 005D 005B 005D  0095 0095 0095 0095 KEY_[
0 1B 007B 007D 007B 007D  009A 009A 009A 009A KEY_]
0 1C 000D 120C 000D 120C  000D 120C 000D 120C KEY_ENTER
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0 1E 0041 0041 0041 0041  0094 0094 0094 0094 KEY_A
0 1F 0053 0053 0053 0053  009B 009B 009B 009B KEY_S
0 20 0044 0044 0044 0044  0082 0082 0082 0082 KEY_D
0 21 0046 0046 0046 0046  0080 0080 0080 0080 KEY_F
0 22 0047 0047 0047 0047  008F 008F 008F 008F KEY_G
0 23 0048 0048 0048 0048  0090 0090 0090 0090 KEY_H
0 24 004A 004A 004A 004A  008E 008E 008E 008E KEY_J
0 25 004B 004B 004B 004B  008B 008B 008B 008B KEY_K
0 26 004C 004C 004C 004C  0084 0084 0084 0084 KEY_L
0 27 0000 0000 0000 0000  0086 0086 0086 0086 KEY_~N
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0 28 003A 003D 003A 003D  009D 009D 009D 009D KEY_=
0 2B 002B 002D 002B 002D  002B 002D 002B 002D KEY_-plus
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0 2C 005A 005A 005A 005A  009F 009F 009F 009F KEY_Z
0 2D 0058 0058 0058 0058  0097 0097 0097 0097 KEY_X
0 2E 0043 0043 0043 0043  0091 0091 0091 0091 KEY_C
0 2F 0056 0056 0056 0056  008C 008C 008C 008C KEY_V
0 30 0042 0042 0042 0042  0088 0088 0088 0088 KEY_B
0 31 004E 004E 004E 004E  0092 0092 004E 004E KEY_N
0 32 004D 004D 004D 004D  009C 009C 009C 009C KEY_M
0 39 0020 0020 0020 0020  0020 0020 0020 0020 KEY_space
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0 33 002C 0028 002C 0028  0081 0081 0081 0081 KEY_,
0 34 002E 0029 002E 0029  009E 009E 009E 009E KEY_.
0 35 002F 003F 002F 003F  00F0 00F0 00F0 00F0 KEY_?


